method,metric,row_label,col_label,mean,sd
EN,mean_FDP,snr=2.00,rho=0.99,0.067317,0.057758
EN,mean_TPP,snr=2.00,rho=0.99,0.943967,0.060355
EN+AUG,mean_FDP,snr=2.00,rho=0.99,0.067899,0.055254
EN+AUG,mean_TPP,snr=2.00,rho=0.99,0.958400,0.055910
IEN,mean_FDP,snr=2.00,rho=0.99,0.000000,0.000000
IEN,mean_TPP,snr=2.00,rho=0.99,0.007600,0.002413
EN,mean_FDP,snr=5.00,rho=0.30,0.034553,0.110756
EN,mean_TPP,snr=5.00,rho=0.30,0.019000,0.026765
EN+AUG,mean_FDP,snr=5.00,rho=0.30,0.023665,0.075876
EN+AUG,mean_TPP,snr=5.00,rho=0.30,0.015200,0.024412
IEN,mean_FDP,snr=5.00,rho=0.30,0.022690,0.078010
IEN,mean_TPP,snr=5.00,rho=0.30,0.012733,0.020075
EN,mean_FDP,snr=5.00,rho=0.50,0.052990,0.051495
EN,mean_TPP,snr=5.00,rho=0.50,0.141700,0.074276
EN+AUG,mean_FDP,snr=5.00,rho=0.50,0.049455,0.050284
EN+AUG,mean_TPP,snr=5.00,rho=0.50,0.136933,0.079467
IEN,mean_FDP,snr=5.00,rho=0.50,0.031539,0.047691
IEN,mean_TPP,snr=5.00,rho=0.50,0.088033,0.050786
EN,mean_FDP,snr=5.00,rho=0.70,0.072491,0.036281
EN,mean_TPP,snr=5.00,rho=0.70,0.527767,0.092276
EN+AUG,mean_FDP,snr=5.00,rho=0.70,0.073794,0.035112
EN+AUG,mean_TPP,snr=5.00,rho=0.70,0.550633,0.104738
IEN,mean_FDP,snr=5.00,rho=0.70,0.020976,0.022734
IEN,mean_TPP,snr=5.00,rho=0.70,0.323900,0.088196
EN,mean_FDP,snr=5.00,rho=0.85,0.088740,0.031785
EN,mean_TPP,snr=5.00,rho=0.85,0.888867,0.048592
EN+AUG,mean_FDP,snr=5.00,rho=0.85,0.089229,0.034611
EN+AUG,mean_TPP,snr=5.00,rho=0.85,0.913800,0.045327
IEN,mean_FDP,snr=5.00,rho=0.85,0.007518,0.011043
IEN,mean_TPP,snr=5.00,rho=0.85,0.692533,0.108039
EN,mean_FDP,snr=5.00,rho=0.90,0.091835,0.035169
EN,mean_TPP,snr=5.00,rho=0.90,0.947967,0.035313
EN+AUG,mean_FDP,snr=5.00,rho=0.90,0.093050,0.038715
EN+AUG,mean_TPP,snr=5.00,rho=0.90,0.964700,0.028108
IEN,mean_FDP,snr=5.00,rho=0.90,0.003639,0.006853
IEN,mean_TPP,snr=5.00,rho=0.90,0.804333,0.098934
EN,mean_FDP,snr=5.00,rho=0.99,0.068447,0.061694
EN,mean_TPP,snr=5.00,rho=0.99,0.960000,0.055589
EN+AUG,mean_FDP,snr=5.00,rho=0.99,0.069953,0.061001
EN+AUG,mean_TPP,snr=5.00,rho=0.99,0.972667,0.048153
IEN,mean_FDP,snr=5.00,rho=0.99,0.000000,0.000000
IEN,mean_TPP,snr=5.00,rho=0.99,0.007567,0.002284
