solver,metric,rho,support_type,gap,value
TREX-DA: TLARS,sd_FDP,0.500000,CappedSpread,15,0.074082
TREX-DA: TLARS,mean_TPP,0.500000,CappedSpread,10,0.940500
TREX-DA: TLARS,sd_TPP,0.500000,CappedSpread,10,0.086876
TREX-DA: TLARS,mean_FDP,0.500000,CappedSpread,10,0.064902
TREX-DA: TLARS,sd_FDP,0.500000,CappedSpread,10,0.072425
TREX-DA: TLARS,mean_TPP,0.500000,CappedSpread,5,0.000500
TREX-DA: TLARS,sd_TPP,0.500000,CappedSpread,5,0.007071
TREX-DA: TLARS,mean_FDP,0.500000,CappedSpread,5,0.065000
TREX-DA: TLARS,sd_FDP,0.500000,CappedSpread,5,0.247144
TREX-DA: TLARS,mean_TPP,0.500000,CappedSpread,1,0.000000
TREX-DA: TLARS,sd_TPP,0.500000,CappedSpread,1,0.000000
TREX-DA: TLARS,mean_FDP,0.500000,CappedSpread,1,0.070000
TREX-DA: TLARS,sd_FDP,0.500000,CappedSpread,1,0.255787
TREX-DA: TLARS,mean_TPP,0.500000,Random,,0.840000
TREX-DA: TLARS,sd_TPP,0.500000,Random,,0.152368
TREX-DA: TLARS,mean_FDP,0.500000,Random,,0.063943
TREX-DA: TLARS,sd_FDP,0.500000,Random,,0.077020
TREX-DA: TLARS,mean_TPP,0.600000,CappedSpread,100,0.906500
TREX-DA: TLARS,sd_TPP,0.600000,CappedSpread,100,0.107543
TREX-DA: TLARS,mean_FDP,0.600000,CappedSpread,100,0.058469
TREX-DA: TLARS,sd_FDP,0.600000,CappedSpread,100,0.072395
TREX-DA: TLARS,mean_TPP,0.600000,CappedSpread,50,0.904000
TREX-DA: TLARS,sd_TPP,0.600000,CappedSpread,50,0.107899
TREX-DA: TLARS,mean_FDP,0.600000,CappedSpread,50,0.067013
TREX-DA: TLARS,sd_FDP,0.600000,CappedSpread,50,0.069252
TREX-DA: TLARS,mean_TPP,0.600000,CappedSpread,20,0.906000
TREX-DA: TLARS,sd_TPP,0.600000,CappedSpread,20,0.107806
TREX-DA: TLARS,mean_FDP,0.600000,CappedSpread,20,0.060406
TREX-DA: TLARS,sd_FDP,0.600000,CappedSpread,20,0.071703
TREX-DA: TLARS,mean_TPP,0.600000,CappedSpread,15,0.901000
TREX-DA: TLARS,sd_TPP,0.600000,CappedSpread,15,0.110726
TREX-DA: TLARS,mean_FDP,0.600000,CappedSpread,15,0.065253
TREX-DA: TLARS,sd_FDP,0.600000,CappedSpread,15,0.071580
TREX-DA: TLARS,mean_TPP,0.600000,CappedSpread,10,0.871000
TREX-DA: TLARS,sd_TPP,0.600000,CappedSpread,10,0.149904
TREX-DA: TLARS,mean_FDP,0.600000,CappedSpread,10,0.045104
TREX-DA: TLARS,sd_FDP,0.600000,CappedSpread,10,0.061919
TREX-DA: TLARS,mean_TPP,0.600000,CappedSpread,5,0.000000
TREX-DA: TLARS,sd_TPP,0.600000,CappedSpread,5,0.000000
TREX-DA: TLARS,mean_FDP,0.600000,CappedSpread,5,0.080000
TREX-DA: TLARS,sd_FDP,0.600000,CappedSpread,5,0.271974
TREX-DA: TLARS,mean_TPP,0.600000,CappedSpread,1,0.000000
TREX-DA: TLARS,sd_TPP,0.600000,CappedSpread,1,0.000000
TREX-DA: TLARS,mean_FDP,0.600000,CappedSpread,1,0.060000
TREX-DA: TLARS,sd_FDP,0.600000,CappedSpread,1,0.238083
TREX-DA: TLARS,mean_TPP,0.600000,Random,,0.761000
