method,metric,row_label,col_label,mean,sd
EN,mean_FDP,snr=2.00,rho=0.85,0.079835,0.057485
EN,mean_TPP,snr=2.00,rho=0.85,0.935567,0.056415
EN+AUG,mean_FDP,snr=2.00,rho=0.85,0.083852,0.061996
EN+AUG,mean_TPP,snr=2.00,rho=0.85,0.950467,0.054179
IEN,mean_FDP,snr=2.00,rho=0.85,0.006361,0.015321
IEN,mean_TPP,snr=2.00,rho=0.85,0.814067,0.143052
EN,mean_FDP,snr=2.00,rho=0.90,0.076992,0.062275
EN,mean_TPP,snr=2.00,rho=0.90,0.937233,0.059348
EN+AUG,mean_FDP,snr=2.00,rho=0.90,0.079020,0.067724
EN+AUG,mean_TPP,snr=2.00,rho=0.90,0.951500,0.057403
IEN,mean_FDP,snr=2.00,rho=0.90,0.007659,0.017411
IEN,mean_TPP,snr=2.00,rho=0.90,0.808733,0.167097
EN,mean_FDP,snr=2.00,rho=0.99,0.071896,0.061112
EN,mean_TPP,snr=2.00,rho=0.99,0.940900,0.063382
EN+AUG,mean_FDP,snr=2.00,rho=0.99,0.073392,0.062494
EN+AUG,mean_TPP,snr=2.00,rho=0.99,0.953500,0.060178
IEN,mean_FDP,snr=2.00,rho=0.99,0.000000,0.000000
IEN,mean_TPP,snr=2.00,rho=0.99,0.008000,0.002673
EN,mean_FDP,snr=5.00,rho=0.30,0.086767,0.031946
EN,mean_TPP,snr=5.00,rho=0.30,0.876367,0.060324
EN+AUG,mean_FDP,snr=5.00,rho=0.30,0.086674,0.032154
EN+AUG,mean_TPP,snr=5.00,rho=0.30,0.895733,0.053048
IEN,mean_FDP,snr=5.00,rho=0.30,0.003082,0.007217
IEN,mean_TPP,snr=5.00,rho=0.30,0.733267,0.110698
EN,mean_FDP,snr=5.00,rho=0.50,0.084311,0.040242
EN,mean_TPP,snr=5.00,rho=0.50,0.918567,0.048784
EN+AUG,mean_FDP,snr=5.00,rho=0.50,0.083612,0.041702
EN+AUG,mean_TPP,snr=5.00,rho=0.50,0.933433,0.044811
IEN,mean_FDP,snr=5.00,rho=0.50,0.002723,0.007117
IEN,mean_TPP,snr=5.00,rho=0.50,0.794067,0.119360
EN,mean_FDP,snr=5.00,rho=0.70,0.082566,0.049758
EN,mean_TPP,snr=5.00,rho=0.70,0.937767,0.050216
EN+AUG,mean_FDP,snr=5.00,rho=0.70,0.081481,0.051573
EN+AUG,mean_TPP,snr=5.00,rho=0.70,0.951467,0.047420
IEN,mean_FDP,snr=5.00,rho=0.70,0.003825,0.009787
IEN,mean_TPP,snr=5.00,rho=0.70,0.827867,0.117180
EN,mean_FDP,snr=5.00,rho=0.85,0.079275,0.057609
EN,mean_TPP,snr=5.00,rho=0.85,0.947933,0.054609
EN+AUG,mean_FDP,snr=5.00,rho=0.85,0.079240,0.058580
EN+AUG,mean_TPP,snr=5.00,rho=0.85,0.961033,0.050583
IEN,mean_FDP,snr=5.00,rho=0.85,0.003698,0.010010
IEN,mean_TPP,snr=5.00,rho=0.85,0.830867,0.137724
EN,mean_FDP,snr=5.00,rho=0.90,0.076628,0.060060
EN,mean_TPP,snr=5.00,rho=0.90,0.951600,0.056782
EN+AUG,mean_FDP,snr=5.00,rho=0.90,0.076701,0.059621
EN+AUG,mean_TPP,snr=5.00,rho=0.90,0.964100,0.052056
IEN,mean_FDP,snr=5.00,rho=0.90,0.002785,0.006881
IEN,mean_TPP,snr=5.00,rho=0.90,0.821533,0.159619
EN,mean_FDP,snr=5.00,rho=0.99,0.070167,0.052915
EN,mean_TPP,snr=5.00,rho=0.99,0.954633,0.059908
EN+AUG,mean_FDP,snr=5.00,rho=0.99,0.066491,0.054307
EN+AUG,mean_TPP,snr=5.00,rho=0.99,0.964033,0.057134
IEN,mean_FDP,snr=5.00,rho=0.99,0.000000,0.000000
IEN,mean_TPP,snr=5.00,rho=0.99,0.008000,0.002673
