scenario,solver,n,p,num_mc,snr,metric,value
C,TOMP,5000,100000,10,2.000000,Total s,408.185156
C,TOMP,5000,100000,10,2.000000,RSS MiB,3898.656250
C,TOMP,5000,100000,10,2.000000,FootprMiB,79.550377
C,TOMP,5000,100000,10,2.000000,PeakRSS,56398.968750
C,TOMP,5000,100000,10,2.000000,X+y MiB,3814.735413
A,TAFS,300,1000,10,0.500000,FDR,0.000000
A,TAFS,300,1000,10,0.500000,TPR,0.220000
A,TAFS,300,1000,10,0.500000,Avg L,7.600000
A,TAFS,300,1000,10,0.500000,Avg T,6.000000
A,TAFS,300,1000,10,0.500000,DGP s,0.002200
A,TAFS,300,1000,10,0.500000,Select s,1.906727
A,TAFS,300,1000,10,0.500000,s/T-iter,0.326679
A,TAFS,300,1000,10,0.500000,Total s,1.908927
A,TAFS,300,1000,10,0.500000,RSS MiB,13.765625
A,TAFS,300,1000,10,0.500000,FootprMiB,5.547310
A,TAFS,300,1000,10,0.500000,PeakRSS,471.578125
A,TAFS,300,1000,10,0.500000,X+y MiB,2.291107
A,TAFS,300,1000,10,1.000000,FDR,0.035000
A,TAFS,300,1000,10,1.000000,TPR,0.820000
A,TAFS,300,1000,10,1.000000,Avg L,3.400000
A,TAFS,300,1000,10,1.000000,Avg T,7.800000
A,TAFS,300,1000,10,1.000000,DGP s,0.003465
A,TAFS,300,1000,10,1.000000,Select s,0.649449
A,TAFS,300,1000,10,1.000000,s/T-iter,0.075940
A,TAFS,300,1000,10,1.000000,Total s,0.652914
A,TAFS,300,1000,10,1.000000,RSS MiB,13.765625
A,TAFS,300,1000,10,1.000000,FootprMiB,5.547310
A,TAFS,300,1000,10,1.000000,PeakRSS,471.578125
A,TAFS,300,1000,10,1.000000,X+y MiB,2.291107
A,TAFS,300,1000,10,2.000000,FDR,0.025758
A,TAFS,300,1000,10,2.000000,TPR,1.000000
A,TAFS,300,1000,10,2.000000,Avg L,1.200000
A,TAFS,300,1000,10,2.000000,Avg T,4.800000
A,TAFS,300,1000,10,2.000000,DGP s,0.002216
A,TAFS,300,1000,10,2.000000,Select s,0.147978
A,TAFS,300,1000,10,2.000000,s/T-iter,0.032204
A,TAFS,300,1000,10,2.000000,Total s,0.150195
A,TAFS,300,1000,10,2.000000,RSS MiB,13.765625
A,TAFS,300,1000,10,2.000000,FootprMiB,5.531685
A,TAFS,300,1000,10,2.000000,PeakRSS,471.578125
A,TAFS,300,1000,10,2.000000,X+y MiB,2.291107
B,TAFS,1000,10000,10,0.500000,FDR,0.027273
B,TAFS,1000,10000,10,0.500000,TPR,1.000000
B,TAFS,1000,10000,10,0.500000,Avg L,1.300000
B,TAFS,1000,10000,10,0.500000,Avg T,4.900000
B,TAFS,1000,10000,10,0.500000,DGP s,0.047699
B,TAFS,1000,10000,10,0.500000,Select s,3.833143
B,TAFS,1000,10000,10,0.500000,s/T-iter,0.812278
B,TAFS,1000,10000,10,0.500000,Total s,3.880841
B,TAFS,1000,10000,10,0.500000,RSS MiB,95.375000
B,TAFS,1000,10000,10,0.500000,FootprMiB,4.969231
