method,metric,row_label,col_label,mean,sd
TENET,mean_TPP,snr=2,rho=0.9,1.000000,0.000000
TENET_AUG,mean_FDP,snr=2,rho=0.9,0.057131,0.040087
TENET_AUG,mean_TPP,snr=2,rho=0.9,1.000000,0.000000
TIENET_AUG,mean_FDP,snr=2,rho=0.9,0.018179,0.024518
TIENET_AUG,mean_TPP,snr=2,rho=0.9,0.999067,0.011084
TENET,mean_FDP,snr=2,rho=0.95,0.057442,0.040595
TENET,mean_TPP,snr=2,rho=0.95,1.000000,0.000000
TENET_AUG,mean_FDP,snr=2,rho=0.95,0.057442,0.040595
TENET_AUG,mean_TPP,snr=2,rho=0.95,1.000000,0.000000
TIENET_AUG,mean_FDP,snr=2,rho=0.95,0.014240,0.022698
TIENET_AUG,mean_TPP,snr=2,rho=0.95,0.998867,0.013861
TENET,mean_FDP,snr=2,rho=0.99,0.059229,0.037373
TENET,mean_TPP,snr=2,rho=0.99,1.000000,0.000000
TENET_AUG,mean_FDP,snr=2,rho=0.99,0.059229,0.037373
TENET_AUG,mean_TPP,snr=2,rho=0.99,1.000000,0.000000
TIENET_AUG,mean_FDP,snr=2,rho=0.99,0.000000,0.000000
TIENET_AUG,mean_TPP,snr=2,rho=0.99,0.019867,0.000936
TENET,mean_FDP,snr=5,rho=0.3,0.088004,0.023795
TENET,mean_TPP,snr=5,rho=0.3,0.987900,0.013468
TENET_AUG,mean_FDP,snr=5,rho=0.3,0.088004,0.023795
TENET_AUG,mean_TPP,snr=5,rho=0.3,0.987900,0.013468
TIENET_AUG,mean_FDP,snr=5,rho=0.3,0.005594,0.008046
TIENET_AUG,mean_TPP,snr=5,rho=0.3,0.886267,0.066608
TENET,mean_FDP,snr=5,rho=0.5,0.071273,0.037237
TENET,mean_TPP,snr=5,rho=0.5,0.999800,0.001322
TENET_AUG,mean_FDP,snr=5,rho=0.5,0.071273,0.037237
TENET_AUG,mean_TPP,snr=5,rho=0.5,0.999800,0.001322
TIENET_AUG,mean_FDP,snr=5,rho=0.5,0.014102,0.017995
TIENET_AUG,mean_TPP,snr=5,rho=0.5,0.994233,0.019968
TENET,mean_FDP,snr=5,rho=0.7,0.063258,0.040450
TENET,mean_TPP,snr=5,rho=0.7,1.000000,0.000000
TENET_AUG,mean_FDP,snr=5,rho=0.7,0.063258,0.040450
TENET_AUG,mean_TPP,snr=5,rho=0.7,1.000000,0.000000
TIENET_AUG,mean_FDP,snr=5,rho=0.7,0.016481,0.022476
TIENET_AUG,mean_TPP,snr=5,rho=0.7,0.999500,0.005302
TENET,mean_FDP,snr=5,rho=0.9,0.062504,0.041740
TENET,mean_TPP,snr=5,rho=0.9,1.000000,0.000000
TENET_AUG,mean_FDP,snr=5,rho=0.9,0.062504,0.041740
TENET_AUG,mean_TPP,snr=5,rho=0.9,1.000000,0.000000
TIENET_AUG,mean_FDP,snr=5,rho=0.9,0.004853,0.013382
TIENET_AUG,mean_TPP,snr=5,rho=0.9,1.000000,0.000000
TENET,mean_FDP,snr=5,rho=0.95,0.061597,0.042010
