scenario,rho,snr,method,mean_coord_tpr,sd_coord_tpr,mean_coord_fdp,sd_coord_fdp,mean_exact_sup,mean_block_hit,mean_block_fdp,mean_full_block,mean_null_act,mean_purity,mean_lambda2,mean_T_stop,mean_M_found
WHOLE,0.650000,0.100000,M4(IE-O),0.000900,0.005032,0.007500,0.078898,0.000000,0.004500,0.007500,0.000000,0.000111,1.000000,7788411.186695,3.540000,100.000000
WHOLE,0.650000,0.200000,M1(EN-C),0.009200,0.032568,0.009364,0.055942,0.000000,0.021500,0.012583,0.002000,0.000500,0.999950,5700335.463875,4.165000,100.005000
WHOLE,0.650000,0.200000,M2(EN-O),0.009200,0.032568,0.009364,0.055942,0.000000,0.021500,0.012583,0.002000,0.000500,1.000000,5700335.463875,4.165000,100.000000
WHOLE,0.650000,0.200000,M3(IE-C),0.002100,0.007608,0.002500,0.035355,0.000000,0.010500,0.002500,0.000000,0.000111,0.999950,5700335.463875,3.410000,100.005000
WHOLE,0.650000,0.200000,M4(IE-O),0.002100,0.007608,0.002500,0.035355,0.000000,0.010500,0.002500,0.000000,0.000111,1.000000,5700335.463875,3.410000,100.000000
WHOLE,0.650000,0.500000,M1(EN-C),0.132100,0.122649,0.052081,0.083430,0.000000,0.273000,0.086464,0.035500,0.005611,1.000000,1757407.851710,9.145000,100.000000
WHOLE,0.650000,0.500000,M2(EN-O),0.132100,0.122649,0.052081,0.083430,0.000000,0.273000,0.086464,0.035500,0.005611,1.000000,1757407.851710,9.145000,100.000000
WHOLE,0.650000,0.500000,M3(IE-C),0.024500,0.027742,0.033143,0.136102,0.000000,0.122500,0.033143,0.000000,0.000944,1.000000,1757407.851710,4.915000,100.000000
WHOLE,0.650000,0.500000,M4(IE-O),0.024500,0.027742,0.033143,0.136102,0.000000,0.122500,0.033143,0.000000,0.000944,1.000000,1757407.851710,4.915000,100.000000
WHOLE,0.650000,1.000000,M1(EN-C),0.371600,0.156293,0.058322,0.062885,0.000000,0.619500,0.118898,0.147500,0.012056,1.000000,215267.130753,13.740000,100.000000
WHOLE,0.650000,1.000000,M2(EN-O),0.371600,0.156293,0.058322,0.062885,0.000000,0.619500,0.118898,0.147500,0.012056,1.000000,215267.130753,13.740000,100.000000
WHOLE,0.650000,1.000000,M3(IE-C),0.066300,0.037434,0.024113,0.097085,0.000000,0.331000,0.024113,0.000000,0.001111,1.000000,215267.130753,6.540000,100.000000
WHOLE,0.650000,1.000000,M4(IE-O),0.066300,0.037434,0.024113,0.097085,0.000000,0.331000,0.024113,0.000000,0.001111,1.000000,215267.130753,6.540000,100.000000
WHOLE,0.650000,2.000000,M1(EN-C),0.615800,0.112916,0.056133,0.052323,0.000000,0.857500,0.140287,0.330500,0.017889,0.999950,81826.431436,12.880000,100.005000
WHOLE,0.650000,2.000000,M2(EN-O),0.615600,0.112909,0.056182,0.052442,0.000000,0.857500,0.140287,0.330500,0.017889,1.000000,81826.431436,12.855000,100.000000
WHOLE,0.650000,2.000000,M3(IE-C),0.105400,0.032312,0.011845,0.043662,0.000000,0.526000,0.011845,0.000000,0.000833,0.999950,81826.431436,6.685000,100.005000
WHOLE,0.650000,2.000000,M4(IE-O),0.105400,0.032312,0.011845,0.043662,0.000000,0.526000,0.011845,0.000000,0.000833,1.000000,81826.431436,6.685000,100.000000
WHOLE,0.650000,5.000000,M1(EN-C),0.788800,0.085246,0.069764,0.055137,0.000000,0.955000,0.183767,0.542500,0.026667,1.000000,59985.737898,11.545000,100.000000
WHOLE,0.650000,5.000000,M2(EN-O),0.788800,0.085246,0.069764,0.055137,0.000000,0.955000,0.183767,0.542500,0.026667,1.000000,59985.737898,11.545000,100.000000
WHOLE,0.650000,5.000000,M3(IE-C),0.142000,0.029536,0.012195,0.037878,0.000000,0.708500,0.012264,0.000000,0.001167,1.000000,59985.737898,6.105000,100.000000
WHOLE,0.650000,5.000000,M4(IE-O),0.142000,0.029536,0.012195,0.037878,0.000000,0.708500,0.012264,0.000000,0.001167,1.000000,59985.737898,6.105000,100.000000
