solver,metric,rho,support_type,gap,value
TREX-DA+AR1: TLARS,mean_TPP,0.500000,CappedSpread,100,0.944000
TREX-DA+AR1: TLARS,sd_TPP,0.500000,CappedSpread,100,0.076112
TREX-DA+AR1: TLARS,mean_FDP,0.500000,CappedSpread,100,0.068412
TREX-DA+AR1: TLARS,sd_FDP,0.500000,CappedSpread,100,0.079628
TREX-DA+AR1: TLARS,mean_TPP,0.500000,CappedSpread,50,0.947500
TREX-DA+AR1: TLARS,sd_TPP,0.500000,CappedSpread,50,0.072249
TREX-DA+AR1: TLARS,mean_FDP,0.500000,CappedSpread,50,0.070271
TREX-DA+AR1: TLARS,sd_FDP,0.500000,CappedSpread,50,0.072008
TREX-DA+AR1: TLARS,mean_TPP,0.500000,CappedSpread,20,0.943500
TREX-DA+AR1: TLARS,sd_TPP,0.500000,CappedSpread,20,0.089430
TREX-DA+AR1: TLARS,mean_FDP,0.500000,CappedSpread,20,0.074240
TREX-DA+AR1: TLARS,sd_FDP,0.500000,CappedSpread,20,0.071143
TREX-DA+AR1: TLARS,mean_TPP,0.500000,CappedSpread,15,0.941000
TREX-DA+AR1: TLARS,sd_TPP,0.500000,CappedSpread,15,0.085178
TREX-DA+AR1: TLARS,mean_FDP,0.500000,CappedSpread,15,0.070168
TREX-DA+AR1: TLARS,sd_FDP,0.500000,CappedSpread,15,0.072288
TREX-DA+AR1: TLARS,mean_TPP,0.500000,CappedSpread,10,0.935500
TREX-DA+AR1: TLARS,sd_TPP,0.500000,CappedSpread,10,0.103651
TREX-DA+AR1: TLARS,mean_FDP,0.500000,CappedSpread,10,0.063965
TREX-DA+AR1: TLARS,sd_FDP,0.500000,CappedSpread,10,0.070425
TREX-DA+AR1: TLARS,mean_TPP,0.500000,CappedSpread,5,0.000000
TREX-DA+AR1: TLARS,sd_TPP,0.500000,CappedSpread,5,0.000000
TREX-DA+AR1: TLARS,mean_FDP,0.500000,CappedSpread,5,0.075000
TREX-DA+AR1: TLARS,sd_FDP,0.500000,CappedSpread,5,0.264052
TREX-DA+AR1: TLARS,mean_TPP,0.500000,CappedSpread,1,0.000000
TREX-DA+AR1: TLARS,sd_TPP,0.500000,CappedSpread,1,0.000000
TREX-DA+AR1: TLARS,mean_FDP,0.500000,CappedSpread,1,0.060000
TREX-DA+AR1: TLARS,sd_FDP,0.500000,CappedSpread,1,0.238083
TREX-DA+AR1: TLARS,mean_TPP,0.500000,Random,,0.833000
TREX-DA+AR1: TLARS,sd_TPP,0.500000,Random,,0.152405
TREX-DA+AR1: TLARS,mean_FDP,0.500000,Random,,0.065720
TREX-DA+AR1: TLARS,sd_FDP,0.500000,Random,,0.077553
TREX-DA+AR1: TLARS,mean_TPP,0.600000,CappedSpread,100,0.903500
TREX-DA+AR1: TLARS,sd_TPP,0.600000,CappedSpread,100,0.111354
TREX-DA+AR1: TLARS,mean_FDP,0.600000,CappedSpread,100,0.056874
TREX-DA+AR1: TLARS,sd_FDP,0.600000,CappedSpread,100,0.072948
TREX-DA+AR1: TLARS,mean_TPP,0.600000,CappedSpread,50,0.897500
TREX-DA+AR1: TLARS,sd_TPP,0.600000,CappedSpread,50,0.118804
TREX-DA+AR1: TLARS,mean_FDP,0.600000,CappedSpread,50,0.063137
TREX-DA+AR1: TLARS,sd_FDP,0.600000,CappedSpread,50,0.070348
TREX-DA+AR1: TLARS,mean_TPP,0.600000,CappedSpread,20,0.896000
