solver,support_type,metric,Kappa,Rho,value
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,10.000000,0.500000,0.117717
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,10.000000,0.500000,0.097916
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,10.000000,0.700000,0.882000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,10.000000,0.700000,0.122273
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,10.000000,0.700000,0.140501
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,10.000000,0.700000,0.102001
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,10.000000,0.800000,0.762000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,10.000000,0.800000,0.153538
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,10.000000,0.800000,0.204734
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,10.000000,0.800000,0.137853
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,10.000000,0.900000,0.683500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,10.000000,0.900000,0.148959
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,10.000000,0.900000,0.273347
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,10.000000,0.900000,0.140648
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,15.000000,0.100000,0.926000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,15.000000,0.100000,0.111743
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,15.000000,0.100000,0.097851
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,15.000000,0.100000,0.084588
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,15.000000,0.300000,0.974000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,15.000000,0.300000,0.050365
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,15.000000,0.300000,0.110566
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,15.000000,0.300000,0.090481
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,15.000000,0.500000,0.938000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,15.000000,0.500000,0.079925
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,15.000000,0.500000,0.103840
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,15.000000,0.500000,0.096482
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,15.000000,0.700000,0.862500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,15.000000,0.700000,0.125789
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,15.000000,0.700000,0.127839
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,15.000000,0.700000,0.101157
