response,metric,tfdr,snr_db,value
plugin,TPR,0.400000,3.000000,1.000000
plugin,TPR,0.450000,3.000000,1.000000
plugin,TPR,0.500000,3.000000,1.000000
plugin,TPR,0.010000,5.000000,1.000000
plugin,TPR,0.050000,5.000000,1.000000
plugin,TPR,0.100000,5.000000,1.000000
plugin,TPR,0.150000,5.000000,1.000000
plugin,TPR,0.200000,5.000000,1.000000
plugin,TPR,0.250000,5.000000,1.000000
plugin,TPR,0.300000,5.000000,1.000000
plugin,TPR,0.350000,5.000000,1.000000
plugin,TPR,0.400000,5.000000,1.000000
plugin,TPR,0.450000,5.000000,1.000000
plugin,TPR,0.500000,5.000000,1.000000
plugin,TPR,0.010000,7.000000,1.000000
plugin,TPR,0.050000,7.000000,1.000000
plugin,TPR,0.100000,7.000000,1.000000
plugin,TPR,0.150000,7.000000,1.000000
plugin,TPR,0.200000,7.000000,1.000000
plugin,TPR,0.250000,7.000000,1.000000
plugin,TPR,0.300000,7.000000,1.000000
plugin,TPR,0.350000,7.000000,1.000000
plugin,TPR,0.400000,7.000000,1.000000
plugin,TPR,0.450000,7.000000,1.000000
plugin,TPR,0.500000,7.000000,1.000000
plugin,TPR,0.010000,10.000000,1.000000
plugin,TPR,0.050000,10.000000,1.000000
plugin,TPR,0.100000,10.000000,1.000000
plugin,TPR,0.150000,10.000000,1.000000
plugin,TPR,0.200000,10.000000,1.000000
plugin,TPR,0.250000,10.000000,1.000000
plugin,TPR,0.300000,10.000000,1.000000
plugin,TPR,0.350000,10.000000,1.000000
plugin,TPR,0.400000,10.000000,1.000000
plugin,TPR,0.450000,10.000000,1.000000
plugin,TPR,0.500000,10.000000,1.000000
oracle,FDR,0.010000,-10.000000,0.000455
oracle,FDR,0.050000,-10.000000,0.009864
oracle,FDR,0.100000,-10.000000,0.022896
oracle,FDR,0.150000,-10.000000,0.062975
oracle,FDR,0.200000,-10.000000,0.138850
oracle,FDR,0.250000,-10.000000,0.203405
oracle,FDR,0.300000,-10.000000,0.271016
oracle,FDR,0.350000,-10.000000,0.331472
oracle,FDR,0.400000,-10.000000,0.396430
oracle,FDR,0.450000,-10.000000,0.458136
oracle,FDR,0.500000,-10.000000,0.526279
oracle,FDR,0.010000,-7.000000,0.000000
oracle,FDR,0.050000,-7.000000,0.008106
oracle,FDR,0.100000,-7.000000,0.023492
oracle,FDR,0.150000,-7.000000,0.077830
oracle,FDR,0.200000,-7.000000,0.161995
oracle,FDR,0.250000,-7.000000,0.228335
oracle,FDR,0.300000,-7.000000,0.292772
oracle,FDR,0.350000,-7.000000,0.354262
oracle,FDR,0.400000,-7.000000,0.418542
oracle,FDR,0.450000,-7.000000,0.476320
oracle,FDR,0.500000,-7.000000,0.537688
oracle,FDR,0.010000,-5.000000,0.000455
oracle,FDR,0.050000,-5.000000,0.008182
oracle,FDR,0.100000,-5.000000,0.024242
oracle,FDR,0.150000,-5.000000,0.078160
oracle,FDR,0.200000,-5.000000,0.157712
oracle,FDR,0.250000,-5.000000,0.227822
oracle,FDR,0.300000,-5.000000,0.298848
oracle,FDR,0.350000,-5.000000,0.358501
oracle,FDR,0.400000,-5.000000,0.415357
oracle,FDR,0.450000,-5.000000,0.478505
oracle,FDR,0.500000,-5.000000,0.535550
oracle,FDR,0.010000,-3.000000,0.000000
oracle,FDR,0.050000,-3.000000,0.007652
oracle,FDR,0.100000,-3.000000,0.023671
oracle,FDR,0.150000,-3.000000,0.076030
oracle,FDR,0.200000,-3.000000,0.151546
oracle,FDR,0.250000,-3.000000,0.227165
oracle,FDR,0.300000,-3.000000,0.291327
oracle,FDR,0.350000,-3.000000,0.352758
oracle,FDR,0.400000,-3.000000,0.409372
oracle,FDR,0.450000,-3.000000,0.466301
oracle,FDR,0.500000,-3.000000,0.529802
oracle,FDR,0.010000,0.000000,0.000455
oracle,FDR,0.050000,0.000000,0.004015
oracle,FDR,0.100000,0.000000,0.021381
oracle,FDR,0.150000,0.000000,0.084574
oracle,FDR,0.200000,0.000000,0.167108
oracle,FDR,0.250000,0.000000,0.236044
oracle,FDR,0.300000,0.000000,0.308870
oracle,FDR,0.350000,0.000000,0.366061
oracle,FDR,0.400000,0.000000,0.420698
oracle,FDR,0.450000,0.000000,0.476591
oracle,FDR,0.500000,0.000000,0.534211
oracle,FDR,0.010000,3.000000,0.000000
oracle,FDR,0.050000,3.000000,0.007197
oracle,FDR,0.100000,3.000000,0.031533
oracle,FDR,0.150000,3.000000,0.089613
oracle,FDR,0.200000,3.000000,0.169789
oracle,FDR,0.250000,3.000000,0.245029
oracle,FDR,0.300000,3.000000,0.305386
oracle,FDR,0.350000,3.000000,0.365091
oracle,FDR,0.400000,3.000000,0.427964
oracle,FDR,0.450000,3.000000,0.483654
oracle,FDR,0.500000,3.000000,0.539434
oracle,FDR,0.010000,5.000000,0.000455
oracle,FDR,0.050000,5.000000,0.007273
oracle,FDR,0.100000,5.000000,0.026743
oracle,FDR,0.150000,5.000000,0.091096
oracle,FDR,0.200000,5.000000,0.174775
oracle,FDR,0.250000,5.000000,0.239816
oracle,FDR,0.300000,5.000000,0.312314
oracle,FDR,0.350000,5.000000,0.376807
oracle,FDR,0.400000,5.000000,0.427677
oracle,FDR,0.450000,5.000000,0.484533
oracle,FDR,0.500000,5.000000,0.538795
oracle,FDR,0.010000,7.000000,0.000455
oracle,FDR,0.050000,7.000000,0.005455
oracle,FDR,0.100000,7.000000,0.022214
oracle,FDR,0.150000,7.000000,0.076526
oracle,FDR,0.200000,7.000000,0.159630
oracle,FDR,0.250000,7.000000,0.235248
oracle,FDR,0.300000,7.000000,0.301177
oracle,FDR,0.350000,7.000000,0.362120
oracle,FDR,0.400000,7.000000,0.415983
oracle,FDR,0.450000,7.000000,0.479301
oracle,FDR,0.500000,7.000000,0.534407
oracle,FDR,0.010000,10.000000,0.000000
oracle,FDR,0.050000,10.000000,0.005909
oracle,FDR,0.100000,10.000000,0.023427
oracle,FDR,0.150000,10.000000,0.095748
oracle,FDR,0.200000,10.000000,0.172331
oracle,FDR,0.250000,10.000000,0.243310
oracle,FDR,0.300000,10.000000,0.308798
oracle,FDR,0.350000,10.000000,0.378548
oracle,FDR,0.400000,10.000000,0.429308
oracle,FDR,0.450000,10.000000,0.488009
oracle,FDR,0.500000,10.000000,0.543390
oracle,TPR,0.010000,-10.000000,0.470500
oracle,TPR,0.050000,-10.000000,0.967000
oracle,TPR,0.100000,-10.000000,0.986000
oracle,TPR,0.150000,-10.000000,0.995500
oracle,TPR,0.200000,-10.000000,0.999000
oracle,TPR,0.250000,-10.000000,0.999500
oracle,TPR,0.300000,-10.000000,0.999500
oracle,TPR,0.350000,-10.000000,0.999500
oracle,TPR,0.400000,-10.000000,1.000000
oracle,TPR,0.450000,-10.000000,1.000000
oracle,TPR,0.500000,-10.000000,1.000000
oracle,TPR,0.010000,-7.000000,0.947000
oracle,TPR,0.050000,-7.000000,0.998000
oracle,TPR,0.100000,-7.000000,0.999500
oracle,TPR,0.150000,-7.000000,0.999500
oracle,TPR,0.200000,-7.000000,0.999500
oracle,TPR,0.250000,-7.000000,1.000000
oracle,TPR,0.300000,-7.000000,1.000000
oracle,TPR,0.350000,-7.000000,1.000000
oracle,TPR,0.400000,-7.000000,1.000000
oracle,TPR,0.450000,-7.000000,1.000000
oracle,TPR,0.500000,-7.000000,1.000000
oracle,TPR,0.010000,-5.000000,0.995000
oracle,TPR,0.050000,-5.000000,1.000000
oracle,TPR,0.100000,-5.000000,1.000000
oracle,TPR,0.150000,-5.000000,1.000000
oracle,TPR,0.200000,-5.000000,1.000000
oracle,TPR,0.250000,-5.000000,1.000000
oracle,TPR,0.300000,-5.000000,1.000000
oracle,TPR,0.350000,-5.000000,1.000000
oracle,TPR,0.400000,-5.000000,1.000000
oracle,TPR,0.450000,-5.000000,1.000000
oracle,TPR,0.500000,-5.000000,1.000000
oracle,TPR,0.010000,-3.000000,0.997000
oracle,TPR,0.050000,-3.000000,1.000000
oracle,TPR,0.100000,-3.000000,1.000000
oracle,TPR,0.150000,-3.000000,1.000000
oracle,TPR,0.200000,-3.000000,1.000000
oracle,TPR,0.250000,-3.000000,1.000000
oracle,TPR,0.300000,-3.000000,1.000000
oracle,TPR,0.350000,-3.000000,1.000000
oracle,TPR,0.400000,-3.000000,1.000000
oracle,TPR,0.450000,-3.000000,1.000000
oracle,TPR,0.500000,-3.000000,1.000000
oracle,TPR,0.010000,0.000000,1.000000
oracle,TPR,0.050000,0.000000,1.000000
oracle,TPR,0.100000,0.000000,1.000000
oracle,TPR,0.150000,0.000000,1.000000
oracle,TPR,0.200000,0.000000,1.000000
oracle,TPR,0.250000,0.000000,1.000000
oracle,TPR,0.300000,0.000000,1.000000
oracle,TPR,0.350000,0.000000,1.000000
oracle,TPR,0.400000,0.000000,1.000000
oracle,TPR,0.450000,0.000000,1.000000
oracle,TPR,0.500000,0.000000,1.000000
oracle,TPR,0.010000,3.000000,1.000000
oracle,TPR,0.050000,3.000000,1.000000
oracle,TPR,0.100000,3.000000,1.000000
oracle,TPR,0.150000,3.000000,1.000000
oracle,TPR,0.200000,3.000000,1.000000
oracle,TPR,0.250000,3.000000,1.000000
oracle,TPR,0.300000,3.000000,1.000000
oracle,TPR,0.350000,3.000000,1.000000
oracle,TPR,0.400000,3.000000,1.000000
oracle,TPR,0.450000,3.000000,1.000000
oracle,TPR,0.500000,3.000000,1.000000
oracle,TPR,0.010000,5.000000,1.000000
oracle,TPR,0.050000,5.000000,1.000000
oracle,TPR,0.100000,5.000000,1.000000
oracle,TPR,0.150000,5.000000,1.000000
