method,metric,p1,value
TRexSPCA-ENaug-Thr,TPR,5.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,5.000000,0.497947
TRexSPCA-ENaug-Thr,PEVsig,5.000000,0.884611
TRexSPCA-ENaug-Thr,PEVsigmix,5.000000,0.901920
TRexSPCA-ENaug-Thr,FDR,10.000000,0.125227
TRexSPCA-ENaug-Thr,TPR,10.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,10.000000,0.491885
TRexSPCA-ENaug-Thr,PEVsig,10.000000,0.812675
TRexSPCA-ENaug-Thr,PEVsigmix,10.000000,0.828910
TRexSPCA-ENaug-Thr,FDR,15.000000,0.204511
TRexSPCA-ENaug-Thr,TPR,15.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,15.000000,0.495471
TRexSPCA-ENaug-Thr,PEVsig,15.000000,0.784003
TRexSPCA-ENaug-Thr,PEVsigmix,15.000000,0.792104
TRexSPCA-ENaug-Thr,FDR,20.000000,0.213601
TRexSPCA-ENaug-Thr,TPR,20.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,20.000000,0.505665
TRexSPCA-ENaug-Thr,PEVsig,20.000000,0.784915
TRexSPCA-ENaug-Thr,PEVsigmix,20.000000,0.791317
TRexSPCA-ENaug-Thr,FDR,25.000000,0.179044
TRexSPCA-ENaug-Thr,TPR,25.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,25.000000,0.517353
TRexSPCA-ENaug-Thr,PEVsig,25.000000,0.796177
TRexSPCA-ENaug-Thr,PEVsigmix,25.000000,0.799935
TRexSPCA-ENaug-Thr,FDR,30.000000,0.106330
TRexSPCA-ENaug-Thr,TPR,30.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,30.000000,0.526275
TRexSPCA-ENaug-Thr,PEVsig,30.000000,0.808730
TRexSPCA-ENaug-Thr,PEVsigmix,30.000000,0.799202
