method,metric,n_pcs,value
TRexSPCA-EN-Thr,PEVsig,1.000000,0.641003
TRexSPCA-EN-Thr,PEVsigmix,1.000000,0.640998
TRexSPCA-EN-Thr,FDR,3.000000,0.112931
TRexSPCA-EN-Thr,TPR,3.000000,1.000000
TRexSPCA-EN-Thr,PEV,3.000000,0.491467
TRexSPCA-EN-Thr,PEVsig,3.000000,0.810641
TRexSPCA-EN-Thr,PEVsigmix,3.000000,0.825396
TRexSPCA-EN-Thr,FDR,5.000000,0.115818
TRexSPCA-EN-Thr,TPR,5.000000,1.000000
TRexSPCA-EN-Thr,PEV,5.000000,0.503699
TRexSPCA-EN-Thr,PEVsig,5.000000,0.833511
TRexSPCA-EN-Thr,PEVsigmix,5.000000,0.836927
TRexSPCA-EN-Thr,FDR,10.000000,0.117036
TRexSPCA-EN-Thr,TPR,10.000000,1.000000
TRexSPCA-EN-Thr,PEV,10.000000,0.515251
TRexSPCA-EN-Thr,PEVsig,10.000000,0.849939
TRexSPCA-EN-Thr,PEVsigmix,10.000000,0.839750
TRexSPCA-EN-Thr,FDR,20.000000,0.111338
TRexSPCA-EN-Thr,TPR,20.000000,1.000000
TRexSPCA-EN-Thr,PEV,20.000000,0.516874
TRexSPCA-EN-Thr,PEVsig,20.000000,0.853457
TRexSPCA-EN-Thr,PEVsigmix,20.000000,0.843880
TRexSPCA-EN-Thr,FDR,30.000000,0.114983
TRexSPCA-EN-Thr,TPR,30.000000,1.000000
TRexSPCA-EN-Thr,PEV,30.000000,0.518214
TRexSPCA-EN-Thr,PEVsig,30.000000,0.856568
TRexSPCA-EN-Thr,PEVsigmix,30.000000,0.845571
TRexSPCA-EN-Thr,FDR,40.000000,0.122245
TRexSPCA-EN-Thr,TPR,40.000000,1.000000
TRexSPCA-EN-Thr,PEV,40.000000,0.519821
TRexSPCA-EN-Thr,PEVsig,40.000000,0.858077
TRexSPCA-EN-Thr,PEVsigmix,40.000000,0.844675
TRexSPCA-EN-Thr,FDR,49.000000,0.140870
TRexSPCA-EN-Thr,TPR,49.000000,1.000000
TRexSPCA-EN-Thr,PEV,49.000000,0.518575
TRexSPCA-EN-Thr,PEVsig,49.000000,0.856736
TRexSPCA-EN-Thr,PEVsigmix,49.000000,0.844319
TRexSPCA-ENaug-Thr,FDR,1.000000,0.119735
TRexSPCA-ENaug-Thr,TPR,1.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,1.000000,0.387278
TRexSPCA-ENaug-Thr,PEVsig,1.000000,0.640817
TRexSPCA-ENaug-Thr,PEVsigmix,1.000000,0.640812
TRexSPCA-ENaug-Thr,FDR,3.000000,0.112169
TRexSPCA-ENaug-Thr,TPR,3.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,3.000000,0.490472
TRexSPCA-ENaug-Thr,PEVsig,3.000000,0.809005
TRexSPCA-ENaug-Thr,PEVsigmix,3.000000,0.822493
TRexSPCA-ENaug-Thr,FDR,5.000000,0.120041
TRexSPCA-ENaug-Thr,TPR,5.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,5.000000,0.503699
TRexSPCA-ENaug-Thr,PEVsig,5.000000,0.833506
TRexSPCA-ENaug-Thr,PEVsigmix,5.000000,0.840159
TRexSPCA-ENaug-Thr,FDR,10.000000,0.117559
TRexSPCA-ENaug-Thr,TPR,10.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,10.000000,0.515838
TRexSPCA-ENaug-Thr,PEVsig,10.000000,0.850909
TRexSPCA-ENaug-Thr,PEVsigmix,10.000000,0.840818
TRexSPCA-ENaug-Thr,FDR,20.000000,0.113886
TRexSPCA-ENaug-Thr,TPR,20.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,20.000000,0.516819
TRexSPCA-ENaug-Thr,PEVsig,20.000000,0.853390
TRexSPCA-ENaug-Thr,PEVsigmix,20.000000,0.841528
TRexSPCA-ENaug-Thr,FDR,30.000000,0.115151
TRexSPCA-ENaug-Thr,TPR,30.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,30.000000,0.517841
TRexSPCA-ENaug-Thr,PEVsig,30.000000,0.855965
TRexSPCA-ENaug-Thr,PEVsigmix,30.000000,0.846097
TRexSPCA-ENaug-Thr,FDR,40.000000,0.117658
TRexSPCA-ENaug-Thr,TPR,40.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,40.000000,0.519495
TRexSPCA-ENaug-Thr,PEVsig,40.000000,0.857569
TRexSPCA-ENaug-Thr,PEVsigmix,40.000000,0.844945
TRexSPCA-ENaug-Thr,FDR,49.000000,0.141543
TRexSPCA-ENaug-Thr,TPR,49.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,49.000000,0.517785
TRexSPCA-ENaug-Thr,PEVsig,49.000000,0.855426
TRexSPCA-ENaug-Thr,PEVsigmix,49.000000,0.843909
