method,metric,tfdr,value
TRexSPCA-EN-Thr,PEVsigmix,0.300000,0.861144
TRexSPCA-EN-Thr,FDR,0.350000,0.464011
TRexSPCA-EN-Thr,TPR,0.350000,1.000000
TRexSPCA-EN-Thr,PEV,0.350000,0.525890
TRexSPCA-EN-Thr,PEVsig,0.350000,0.869347
TRexSPCA-EN-Thr,PEVsigmix,0.350000,0.865238
TRexSPCA-EN-Thr,FDR,0.400000,0.534882
TRexSPCA-EN-Thr,TPR,0.400000,1.000000
TRexSPCA-EN-Thr,PEV,0.400000,0.530362
TRexSPCA-EN-Thr,PEVsig,0.400000,0.876960
TRexSPCA-EN-Thr,PEVsigmix,0.400000,0.868906
TRexSPCA-EN-Thr,FDR,0.450000,0.567551
TRexSPCA-EN-Thr,TPR,0.450000,1.000000
TRexSPCA-EN-Thr,PEV,0.450000,0.533671
TRexSPCA-EN-Thr,PEVsig,0.450000,0.879961
TRexSPCA-EN-Thr,PEVsigmix,0.450000,0.869148
TRexSPCA-EN-Thr,FDR,0.500000,0.624040
TRexSPCA-EN-Thr,TPR,0.500000,1.000000
TRexSPCA-EN-Thr,PEV,0.500000,0.536453
TRexSPCA-EN-Thr,PEVsig,0.500000,0.887484
TRexSPCA-EN-Thr,PEVsigmix,0.500000,0.873753
TRexSPCA-ENaug-Thr,FDR,0.010000,0.018027
TRexSPCA-ENaug-Thr,TPR,0.010000,1.000000
TRexSPCA-ENaug-Thr,PEV,0.010000,0.391068
TRexSPCA-ENaug-Thr,PEVsig,0.010000,0.645283
TRexSPCA-ENaug-Thr,PEVsigmix,0.010000,0.645344
TRexSPCA-ENaug-Thr,FDR,0.050000,0.071361
TRexSPCA-ENaug-Thr,TPR,0.050000,1.000000
TRexSPCA-ENaug-Thr,PEV,0.050000,0.481560
TRexSPCA-ENaug-Thr,PEVsig,0.050000,0.794340
TRexSPCA-ENaug-Thr,PEVsigmix,0.050000,0.806208
TRexSPCA-ENaug-Thr,FDR,0.100000,0.112051
TRexSPCA-ENaug-Thr,TPR,0.100000,1.000000
TRexSPCA-ENaug-Thr,PEV,0.100000,0.490926
TRexSPCA-ENaug-Thr,PEVsig,0.100000,0.811485
TRexSPCA-ENaug-Thr,PEVsigmix,0.100000,0.825498
TRexSPCA-ENaug-Thr,FDR,0.150000,0.203362
TRexSPCA-ENaug-Thr,TPR,0.150000,1.000000
TRexSPCA-ENaug-Thr,PEV,0.150000,0.497556
TRexSPCA-ENaug-Thr,PEVsig,0.150000,0.822785
TRexSPCA-ENaug-Thr,PEVsigmix,0.150000,0.837519
TRexSPCA-ENaug-Thr,FDR,0.200000,0.304396
TRexSPCA-ENaug-Thr,TPR,0.200000,1.000000
TRexSPCA-ENaug-Thr,PEV,0.200000,0.510065
TRexSPCA-ENaug-Thr,PEVsig,0.200000,0.840737
TRexSPCA-ENaug-Thr,PEVsigmix,0.200000,0.851784
TRexSPCA-ENaug-Thr,FDR,0.250000,0.353939
TRexSPCA-ENaug-Thr,TPR,0.250000,1.000000
TRexSPCA-ENaug-Thr,PEV,0.250000,0.514925
TRexSPCA-ENaug-Thr,PEVsig,0.250000,0.851730
TRexSPCA-ENaug-Thr,PEVsigmix,0.250000,0.854395
TRexSPCA-ENaug-Thr,FDR,0.300000,0.419303
TRexSPCA-ENaug-Thr,TPR,0.300000,1.000000
TRexSPCA-ENaug-Thr,PEV,0.300000,0.520430
TRexSPCA-ENaug-Thr,PEVsig,0.300000,0.860564
TRexSPCA-ENaug-Thr,PEVsigmix,0.300000,0.860980
TRexSPCA-ENaug-Thr,FDR,0.350000,0.456911
TRexSPCA-ENaug-Thr,TPR,0.350000,1.000000
TRexSPCA-ENaug-Thr,PEV,0.350000,0.525834
TRexSPCA-ENaug-Thr,PEVsig,0.350000,0.869260
TRexSPCA-ENaug-Thr,PEVsigmix,0.350000,0.864823
TRexSPCA-ENaug-Thr,FDR,0.400000,0.536086
TRexSPCA-ENaug-Thr,TPR,0.400000,1.000000
TRexSPCA-ENaug-Thr,PEV,0.400000,0.530051
TRexSPCA-ENaug-Thr,PEVsig,0.400000,0.876436
TRexSPCA-ENaug-Thr,PEVsigmix,0.400000,0.869266
TRexSPCA-ENaug-Thr,FDR,0.450000,0.561820
TRexSPCA-ENaug-Thr,TPR,0.450000,1.000000
TRexSPCA-ENaug-Thr,PEV,0.450000,0.533793
TRexSPCA-ENaug-Thr,PEVsig,0.450000,0.880179
TRexSPCA-ENaug-Thr,PEVsigmix,0.450000,0.868892
TRexSPCA-ENaug-Thr,FDR,0.500000,0.622050
TRexSPCA-ENaug-Thr,TPR,0.500000,1.000000
TRexSPCA-ENaug-Thr,PEV,0.500000,0.536379
TRexSPCA-ENaug-Thr,PEVsig,0.500000,0.887360
TRexSPCA-ENaug-Thr,PEVsigmix,0.500000,0.873286
